product,price,rating,reviews,brand
Apple iPhone SE 256 GB Wit,659.0,4.5,754,Apple
Samsung Galaxy S20 FE 128GB Groen 5G,649.0,4.5,38,Samsung
Apple iPhone 12 Pro Max 256GB Goud,1379.0,4.5,112,Apple
OPPO A53s 128GB Blauw,191.0,4.5,3,OPPO
Samsung Galaxy A21s 128GB Zwart,213.0,4.5,98,Samsung
Samsung Galaxy Z Fold 2 256GB Zwart 5G,1699.0,4.5,4,Samsung
Xiaomi Redmi Note 9 64GB Grijs,199.0,4.5,42,Xiaomi
OnePlus 8 256GB Groen 5G,659.0,4.5,60,OnePlus
CAT S52,408.0,4.0,11,CAT
Motorola Moto G Pro 128GB Blauw,298.0,4.5,10,Motorola
Huawei P Smart (2020) 128GB Groen,199.0,4.5,13,Huawei
Apple iPhone 12 Pro 256GB Zilver,1279.0,4.5,92,Apple
OPPO Reno4 128GB Blauw 5G,576.0,4.5,7,OPPO
Nokia 2.4 32 GB Grijs,123.99,4.0,8,Nokia
Samsung Galaxy A42 128GB Wit 5G,329.0,4.5,6,Samsung
Sony Xperia 5 II 128GB Blauw 5G,847.0,4.5,21,Sony
Xiaomi Redmi Note 9 Pro 128 GB Groen,268.0,4.5,73,Xiaomi
Apple iPhone 11 Pro 512 GB Midnight Green,1429.0,5.0,226,Apple
OnePlus 8 Pro 256GB Groen 5G,799.0,4.5,108,OnePlus
Apple iPhone 12 Pro Max 256GB Zilver,1379.0,4.5,112,Apple
Samsung Galaxy M11 32GB Blauw,159.0,5.0,3,Samsung
Xiaomi Mi 10T Lite 128GB Grijs 5G,327.0,4.5,13,Xiaomi
Nokia 105 Zwart,39.0,4.0,18,Nokia
OnePlus 8 Pro 128GB Zwart 5G,699.0,4.5,108,OnePlus
Apple iPhone 12 Pro 256GB Pacific Blue,1279.0,4.5,92,Apple
Nokia 3.4 32 GB Blauw,145.99,4.0,7,Nokia
Nokia 2720 Flip Zwart,108.99,3.5,39,Nokia
OPPO A73 128GB Zwart 5G,319.0,0.0,0,OPPO
Emporia Flip Basic Senioren Telefoon zwart,68.99,4.5,100,Emporia
Huawei P Smart (2019) Zwart,174.99,4.5,190,Huawei
OPPO A53 64GB Zwart,173.99,4.5,1,OPPO
Xiaomi Poco X3 128GB Zwart,267.0,4.5,77,Xiaomi
Apple iPhone 12 Pro Max 128GB Pacific Blue,1259.0,4.5,112,Apple
OPPO Reno4 128GB Zwart 5G,576.0,4.5,7,OPPO
OnePlus Nord N100 64GB Grijs,183.99,4.5,19,OnePlus
Xiaomi Mi 10T Lite 64GB Grijs 5G,259.0,4.5,13,Xiaomi
Xiaomi Mi 10T Lite 64GB Goud 5G,279.0,4.5,13,Xiaomi
Xiaomi Redmi Note 9S 128 GB Grijs,239.0,4.5,16,Xiaomi
OPPO Find X2 256GB Zwart 5G,879.0,4.5,2,OPPO
Nokia 3.4 32 GB Grijs,145.99,4.0,7,Nokia
Nokia 225 4G Zwart,49.99,4.5,1,Nokia
OPPO Reno4 Pro 256GB Blauw 5G,761.0,4.5,7,OPPO
Apple iPhone SE 256 GB RED,653.0,4.5,754,Apple
Xiaomi Mi 10T 128GB Zilver,479.0,4.5,8,Xiaomi
Nokia 2.4 32 GB Paars,123.99,4.0,8,Nokia
OnePlus Nord 128GB Grijs 5G,399.0,4.5,720,OnePlus
Nokia 2720 Flip Rood,108.99,3.5,39,Nokia
Apple iPhone 11 256 GB Geel,866.0,4.5,1023,Apple
Nokia 110 Zwart,35.99,3.5,14,Nokia
Samsung Galaxy Xcover Pro,449.0,4.0,3,Samsung
Emporia Smart.3 Zwart,178.99,3.5,1,Emporia
Xiaomi Mi 10T 128GB Zwart,479.0,4.5,8,Xiaomi
Nokia 105 Blauw,39.0,4.0,18,Nokia
Samsung Galaxy S20 Plus 128GB Grijs 5G,889.0,4.5,37,Samsung
Xiaomi Mi Note 10 Lite 64 GB Zwart,349.0,4.5,13,Xiaomi
Xiaomi Redmi Note 9S 64 GB Blauw,198.0,4.5,16,Xiaomi
CAT B26,69.0,3.5,11,CAT
Nokia 225 4G Blauw,49.99,4.5,1,Nokia
Apple iPhone 11 Pro 64 GB Midnight Green,939.0,5.0,226,Apple
Huawei P Smart Z Zwart,172.99,4.5,11,Huawei
Motorola Moto G9 Play 64GB Groen,168.99,4.5,16,Motorola
Apple iPhone 11 Pro 64 GB Zilver,939.0,5.0,226,Apple
Motorola Moto G9 Power 128GB Paars,199.0,5.0,6,Motorola
LG G8X ThinQ Dual Screen Zwart,829.0,4.5,1,LG
Apple iPhone 12 Pro Max 128GB Zilver,1259.0,4.5,112,Apple
Motorola Moto E7 Plus 64GB Blauw,153.99,5.0,2,Motorola
Motorola Moto G9 Power 128GB Groen,199.0,5.0,6,Motorola
Apple iPhone 12 mini 256GB Wit,979.0,4.5,98,Apple
OPPO A52 64GB Zwart,187.99,4.5,6,OPPO
Nokia 110 Blauw,35.99,3.5,14,Nokia
Huawei P30 Lite New Edition 256 GB Zwart,229.0,4.5,195,Huawei
Fysic FM-9260 Senioren Telefoon,74.99,4.0,18,Fysic
Xiaomi Mi Note 10 Lite 128 GB Paars,379.0,4.5,13,Xiaomi
Xiaomi Mi 10T Pro 256GB Blauw 5G,637.0,4.5,16,Xiaomi
Nokia 6300 4G Grijs,73.99,1.0,1,Nokia
Huawei P Smart Z Blauw,172.0,4.5,11,Huawei
Samsung Galaxy A41 64GB Wit,249.0,4.5,187,Samsung
Samsung Galaxy Z Fold 2 256GB Brons 5G,1699.0,4.5,4,Samsung
Samsung Galaxy S10 Lite 128 GB Zwart,499.0,4.5,11,Samsung
Apple iPhone 12 mini 256GB Zwart,979.0,4.5,98,Apple
Xiaomi Mi 10 Lite 64GB Blauw 5G,317.0,4.5,29,Xiaomi
OPPO Find X2 Lite 128GB Wit,459.0,4.0,2,OPPO
Apple iPhone 12 mini 256GB RED,979.0,4.5,98,Apple
Nokia 6300 4G Groen,73.99,1.0,1,Nokia
RugGear RG650 Zwart,145.99,3.5,9,RugGear
Xiaomi Redmi Note 9S 128 GB Blauw,239.0,4.5,16,Xiaomi
Apple iPhone 12 Pro 128GB Goud,1159.0,4.5,92,Apple
Motorola Moto G8 Power 64GB Zwart,176.99,4.5,109,Motorola
OPPO Find X2 Lite 128GB Zwart,459.0,4.0,2,OPPO
Emporia Smart.3 Mini Zwart,145.99,3.5,3,Emporia
Nokia 2720 Flip Grijs,108.99,3.5,39,Nokia
OPPO Find X Blauw,759.0,0.0,0,OPPO
Xiaomi Redmi Note 9 Pro 64 GB Grijs,239.0,4.5,73,Xiaomi
Apple iPhone 11 256 GB Paars,866.0,4.5,1023,Apple
Apple iPhone 12 256GB Wit,1079.0,4.5,146,Apple
Xiaomi Redmi Note 9 64GB Wit,178.99,4.5,42,Xiaomi
Apple iPhone 12 Pro Max 256GB Grafiet,1379.0,4.5,112,Apple
Xiaomi Redmi Note 9S 64 GB Grijs,198.0,4.5,16,Xiaomi
Fysic FM-7550 Senioren Telefoon,43.0,4.0,101,Fysic
CrossCall Core-M4 32GB Zwart,306.0,0.0,0,CrossCall
OPPO Find X2 Pro 512GB Zwart 5G,1059.0,4.5,5,OPPO
Apple iPhone Xr 64 GB Blauw,579.0,4.5,725,Apple
Sony Xperia 1 II 256GB Paars 5G,959.0,4.5,18,Sony
Xiaomi Mi 10 Lite 64GB Grijs 5G,317.0,4.5,29,Xiaomi
Xiaomi Poco F2 Pro 128GB Grijs,587.0,4.5,48,Xiaomi
Motorola Moto G8 Plus Blauw,219.0,4.5,165,Motorola
RugGear RG170,119.99,3.5,1,RugGear
Samsung Galaxy S20 Plus 128GB Blauw 5G,889.0,4.5,37,Samsung
CAT S31,207.0,4.0,26,CAT
Xiaomi Mi Note 10 Lite 64 GB Paars,349.0,4.5,13,Xiaomi
Nokia 5.3 64GB Goud,189.99,4.5,46,Nokia
Apple iPhone 12 Pro 256GB Goud,1279.0,4.5,92,Apple
Fysic FM-9710 Rood,98.99,4.5,16,Fysic
