brand,highlight1,highlight2,highlight3,price,product,rating,reviews
Motorola,Android 7.1 Nougat,"5,2 inch Full HD scherm",64 GB opslagcapaciteit,379.99,Motorola Moto X4 Zilver,5,2
Apple,iOS 11,"4,7 inch Retina HD scherm",256 GB opslagcapaciteit,949.0,Apple iPhone 8 256GB Zilver,4.5,70
Apple,iOS 10,"5,5 inch Retina HD scherm",128 GB opslagcapaciteit,883.24,Apple iPhone 7 Plus 128 GB Zwart,4.5,397
Huawei,Android 6.0 Marshmallow,"5,2 inch Full HD-scherm",32 GB opslagcapaciteit,329.0,Huawei P9 Grijs,4.5,40
Wileyfox,Android 7.1,5 inch HD scherm,16 GB opslagcapaciteit,149.0,Wileyfox Swift 2 Goud,4.5,120
Wileyfox,Android 7.1 Nougat,5 inch HD scherm,32 GB opslagcapaciteit,179.0,Wileyfox Swift 2+ Blauw,4,127
Huawei,Android 7.0 Nougat,"5,2 inch Full HD scherm",32 GB opslagcapaciteit,299.0,Huawei P10 Lite Wit,4.5,159
General,Android 7.0 Nougat,5 inch HD scherm,32 GB opslagcapaciteit,199.0,General Mobile GM6 Zwart,4.5,11
Apple,iOS 11,"4,7 inch Retina HD scherm",256 GB opslagcapaciteit,979.0,Apple iPhone 8 256GB Goud,4.5,70
Wileyfox,Android 7.1 Nougat,5 inch HD scherm,32 GB opslagcapaciteit,178.0,Wileyfox Swift 2+ Goud,4,127
CAT,Android 6.0 Marshmallow,"4,7 inch HD-scherm",32 GB opslagcapaciteit,619.0,CAT S60,4.5,99
LG,Android 7.0 Nougat,"5,7 inch Quad HD scherm",32 GB opslagcapaciteit,479.0,LG G6 Grijs,4.5,18
LG,Android 7.0 Nougat,"5,7 inch Quad HD scherm",32 GB opslagcapaciteit,479.0,LG G6 Zwart,4.5,18
Emporia,Extra grote toetsen,Geschikt voor hoortoeste,Noodknop,59.0,Emporia Flip Basic senioren telefoon rood,4.5,145
Sony,Android 7.0 Nougat,5 inch HD scherm,32 GB opslagcapaciteit,279.0,Sony Xperia XA1 Zwart,4.5,91
Nokia,Android 7.1 Nougat,"5,2 inch HD scherm",16 GB opslagcapaciteit,199.0,Nokia 5 Zilver,4.5,51
Nokia,Android 7.1 Nougat,"5,2 inch HD scherm",16 GB opslagcapaciteit,199.0,Nokia 5 Blauw,4.5,51
Motorola,Android 7.1 Nougat,"5,5 inch Full HD scherm",64 GB opslagcapaciteit,449.99,Motorola Moto Z2 Play Grijs,4.5,16
Sony,Android 7.1 Nougat,"5,5 inch Full HD scherm",32 GB opslagcapaciteit,349.0,Sony Xperia XA1 Plus Zwart,4,2
Asus,Android 7.0 Nougat,"5,5 inch HD scherm",32 GB opslagcapaciteit,249.0,Asus Zenfone 4 Max 5.5 inch Zwart,4.5,5
Motorola,Android 7.1 Nougat,"5,5 inch Full HD scherm",32 GB opslagcapaciteit,299.0,Motorola Moto G5S Plus Goud,4.5,26
HTC,Android 6.0 Marshmallow,"5,2 inch Full HD scherm",32 GB opslagcapaciteit,249.0,HTC U Play Zwart,4.5,18
Samsung,Android 7.0 Nougat,"6,2 inch Quad HD scherm",64 GB opslagcapaciteit,799.0,Samsung Galaxy S8 Plus Zilver,5,282
Huawei,Android 7.0 Nougat,"5,1 inch Full HD scherm",64 GB opslagcapaciteit,549.0,Huawei P10 Blauw,4.5,70
Huawei,Android 6.0 Marshmallow,5 inch HD scherm,16 GB opslagcapaciteit,137.0,Huawei Y6 (2017) Blauw,4.5,25
Honor,Android 7.0 Nougat,"5,2 inch Full HD scherm",64 GB opslagcapaciteit,429.0,Honor 9 Blauw,4.5,34
Nokia,Android 7.1 Nougat,"5,3 inch Quad HD scherm",64 GB opslagcapaciteit,599.0,Nokia 8 Grijs,4.5,28
Fysic,Extra grote toetsen,Geschikt voor hoortoeste,Noodknop,49.99,Fysic FM-7800,4,13
Apple,iOS 9,"4,7 inch Retina HD scherm",128 GB opslagcapaciteit,639.0,Apple iPhone 6s 128GB Goud,4.5,1228
Nokia,Android 7.0 Nougat,5 inch HD scherm,16 GB opslagcapaciteit,149.0,Nokia 3 Koper,4,34
LG,Android 7.1 Nougat,"5,5 inch Full HD scherm",32 GB opslagcapaciteit,299.0,LG Q6 Zwart,4.5,3
Samsung,Android 7.1 Nougat,"6,3 inch Quad HD scherm",64 GB opslagcapaciteit,949.0,Samsung Galaxy Note 8 Goud,4.5,62
Samsung,Android 7.0 Nougat,"6,2 inch Quad HD scherm",64 GB opslagcapaciteit,799.0,Samsung Galaxy S8 Plus Blauw,5,282
Apple,iOS 9,"4,7 inch Retina HD scherm",128 GB opslagcapaciteit,639.0,Apple iPhone 6s 128GB Rose Gold,4.5,1228
Apple,iOS 9,"5,5 inch Retina HD scherm",128 GB opslagcapaciteit,749.0,Apple iPhone 6s Plus 128GB Space Gray,4.5,293
Doro,Extra grote toetsen,Geschikt voor hoortoeste,Noodknop,189.0,Doro 8031 Goud,4.5,30
Huawei,Android 7.0 Nougat,"5,5 inch Quad HD scherm",128 GB opslagcapaciteit,699.0,Huawei P10 Plus Zwart,4.5,16
HTC,Android 7.1 Nougat,"5,5 inch Quad HD scherm",64 GB opslagcapaciteit,699.0,HTC U11 Zilver,4.5,27
Emporia,Extra grote toetsen,Geschikt voor hoortoeste,Noodknop,89.0,Emporia Comfort senioren telefoon,4.5,6
Nokia,Android 7.1 Nougat,"5,2 inch HD scherm",16 GB opslagcapaciteit,199.0,Nokia 5 Koper,4.5,51
Fysic,Extra grote toetsen,Geschikt voor hoortoeste,Noodknop,89.99,Fysic FM-9710 Rood,0,0
Profoon,2 inch scherm,Dual sim-telefoon,Stofdicht en waterdicht,39.99,Profoon OUTDOOR,0,0
Huawei,Android 7.0 Nougat,5 inch HD scherm,16 GB opslagcapaciteit,179.0,Huawei Y6 Pro (2017) Goud,4,6
Sony,Android 8.0 Oreo,"4,6 inch HD scherm",32 GB opslagcapaciteit,599.0,Sony Xperia XZ1 Compact Blauw,4.5,24
Asus,Android 7.0 Nougat,"5,2 inch HD scherm",16 GB opslagcapaciteit,199.0,Asus Zenfone 4 Max 5.2 inch Zwart,0,0
Sony,Android 8.0 Oreo,"5,2 inch Full HD scherm",64 GB opslagcapaciteit,699.0,Sony Xperia XZ1 Zwart,4.5,11
Sony,Android 8.0 Oreo,"4,6 inch HD scherm",32 GB opslagcapaciteit,599.0,Sony Xperia XZ1 Compact Zilver,4.5,24
Asus,Android 7.0 Nougat,"5,5 inch HD scherm",32 GB opslagcapaciteit,249.0,Asus Zenfone 4 Max 5.5 inch Goud,4.5,3
Doro,Extra grote toetsen,Geschikt voor hoortoeste,Noodknop,189.0,Doro 8031 Wit,4.5,30
Doro,Extra grote toetsen,Geschikt voor hoortoeste,Noodknop,85.0,Doro Primo 413 Zwart,4.5,45
Asus,Android 6.0 Marshmallow,"5,2 inch HD scherm",32 GB opslagcapaciteit,199.0,Asus Zenfone 3 Max 5.2 inch Grijs,4.5,44
Apple,iOS 10,"5,5 inch Retina HD scherm",128 GB opslagcapaciteit,889.0,Apple iPhone 7 Plus 128GB Rood,4.5,397
Sony,Android 7.0 Nougat,"5,5 inch HD scherm",16 GB opslagcapaciteit,199.0,Sony Xperia L1 Wit,4.5,17
Motorola,Android 7.1 Nougat,"5,5 inch HD scherm",16 GB opslagcapaciteit,179.0,Motorola Moto E4 Plus Goud,4.5,22
Honor,Android 7.0 Nougat,"5,2 inch Full HD scherm",64 GB opslagcapaciteit,429.0,Honor 9 Zilver,4.5,34
RugGear,2 inch scherm,Stof- en waterdicht,Stand-by: 25 dagen,119.0,RugGear RG100 Zwart,4,55
Apple,iOS 10,"4,7 inch Retina HD scherm",256 GB opslagcapaciteit,849.0,Apple iPhone 7 256GB Rose Gold,4.5,1049
Alcatel,Android 7.0 Nougat,5 inch Full HD scherm,8 GB opslagcapaciteit,119.0,Alcatel U5 HD Zwart,5,1
Asus,Android 7.0 Nougat,"5,5 inch Full HD scherm",64 GB opslagcapaciteit,399.0,Asus Zenfone 4 Selfie PRO Zwart,4.5,1
Asus,Android 7.0 Nougat,"5,5 inch Full HD scherm",64 GB opslagcapaciteit,399.0,Asus Zenfone 4 Selfie PRO Goud,4.5,1
Wiko,Android 7.0 Nougat,"5,5 inch HD scherm",32 GB opslagcapaciteit,179.99,Wiko U Pulse Zwart,4.5,1
Motorola,Android 7.1 Nougat,"5,5 inch Quad HD scherm",64 GB opslagcapaciteit,799.0,Motorola Moto Z2 Force Zwart,0,0
Fysic,Extra grote toetsen,Geschikt voor hoortoeste,Noodknop,89.99,Fysic FM-9710 Wit,0,0
Huawei,Android 7.1 Nougat,"5,9 inch Full HD scherm",64 GB opslagcapaciteit,349.0,Huawei Mate 10 Lite Goud,5,1
Huawei,Android 8.0 Oreo,6 inch Full HD scherm,128 GB opslagcapaciteit,799.0,Huawei Mate 10 PRO Zwart,0,0
Huawei,Android 8.0 Oreo,6 inch Full HD scherm,128 GB opslagcapaciteit,799.0,Huawei Mate 10 PRO Bruin,0,0
Sony,Android 7.0 Nougat,6 inch Full HD scherm,32 GB opslagcapaciteit,379.0,Sony Xperia XA1 Ultra Goud,4.5,36
Sony,Android 8.0 Oreo,"5,2 inch Full HD scherm",64 GB opslagcapaciteit,699.0,Sony Xperia XZ1 Zilver,4.5,11
Sony,Android 8.0 Oreo,"5,2 inch Full HD scherm",64 GB opslagcapaciteit,699.0,Sony Xperia XZ1 Blauw,4.5,11
Sony,Android 8.0 Oreo,"5,2 inch Full HD scherm",64 GB opslagcapaciteit,699.0,Sony Xperia XZ1 Roze,4.5,11
Asus,Android 6.0 Marshmallow,"5,2 inch HD scherm",32 GB opslagcapaciteit,198.0,Asus Zenfone 3 Max 5.2 inch Goud,4.5,44
Huawei,Android 7.0 Nougat,"5,1 inch Full HD scherm",64 GB opslagcapaciteit,549.0,Huawei P10 Goud,4.5,70
Sony,Android 7.0 Nougat,6 inch Full HD scherm,32 GB opslagcapaciteit,379.0,Sony Xperia XA1 Ultra Wit,4.5,36
Sony,Android 7.0 Nougat,5 inch HD scherm,32 GB opslagcapaciteit,279.0,Sony Xperia XA1 Wit,4.5,91
Alcatel,Android 6.0 Marshmallow,5 inch HD scherm,16 GB opslagcapaciteit,149.0,Alcatel A3 Wit,4.5,2
Alcatel,Android 6.0 Marshmallow,5 inch HD scherm,16 GB opslagcapaciteit,179.0,Alcatel Shine Lite Wit,4,8
Samsung,Android 6.0 Marshmallow,"5,5 inch Quad HD scherm",32 GB opslagcapaciteit,599.0,Samsung Galaxy S7 Edge Blauw,4.5,932
Apple,iOS 9,"5,5 inch Retina HD scherm",32 GB opslagcapaciteit,639.0,Apple iPhone 6s Plus 32GB Goud,4.5,293
Honor,Android 7.0 Nougat,"5,7 inch Quad HD scherm",64 GB opslagcapaciteit,549.0,Honor 8 Pro Goud,4.5,13
Emporia,Extra grote toetsen,Geschikt voor hoortoeste,Noodknop,69.99,Emporia Classic senioren telefoon,4.5,1
Motorola,Android 7.1 Nougat,"5,5 inch Full HD scherm",64 GB opslagcapaciteit,449.99,Motorola Moto Z2 Play Goud,4.5,16
Apple,Geen tot zeer lichte gebruikssporen,Inclusief originele Apple accessoires,1 jaar garantie,399.0,Apple iPhone 6s 16GB Goud (1 jaar garantie),3.5,3
Alcatel,"2,4-inch kleurendisplay",Geheugen uitbreidbaar,"0,3 MP Camera",44.99,Alcatel OT-2045 Zwart,4.5,4
